Site,Topic,Polarity,Comment,Article URL
Deseret,Business,-0.296,"Trump probably should negotiate lower tariffs with Japan.  ",https://www.deseret.com/u-s-world/2025/04/07/trump-tariff-japan-prime-minister-trump-negotiation-trade-deal/
Deseret,Business,0.4767,"This reminds me of when the Outdoor Retailers trade show left Utah for Colorado over politics. They held out for five years but eventually swallowed their pride and returned. ",https://www.deseret.com/utah/2025/04/10/sundance-used-politics-as-convenient-excuse-to-leave-utah-mayor-jenny-wilson-says/
Deseret,Business,0.6573,"I don't want Japan to own the United States... do you?There needs to be limits on how many companies they can buy in the United States.",https://www.deseret.com/u-s-world/2025/04/07/trump-tariff-japan-prime-minister-trump-negotiation-trade-deal/
Deseret,Business,0.5399,"Good points!Trade agreements...that are fair...is exactly what Trump is getting.  THe tariffs are the increntives!  ",https://www.deseret.com/u-s-world/2025/04/07/british-prime-minister-reaction-trump-tariff-us-uk/
Deseret,Business,0.0,"its up to $5 trillion in new investment in the USA!",https://www.deseret.com/u-s-world/2025/04/07/british-prime-minister-reaction-trump-tariff-us-uk/
Deseret,Business,-0.296,"Oh shush, conservatives are the biggest snow - flakes on the planet, you have no moral high ground here. ",https://www.deseret.com/utah/2025/04/10/sundance-used-politics-as-convenient-excuse-to-leave-utah-mayor-jenny-wilson-says/
Deseret,Business,0.4215,"That was yesterday. They changed their opinion based on faux entertainment. ",https://www.deseret.com/business/2025/04/09/china-donald-trump-trade-tariffs-pause-trade-war-eu-import-levies-reciprocal-tariffs/
Deseret,Business,0.4939,"Typical trump Stepping over dollars to save pennies",https://www.deseret.com/business/2025/04/09/china-donald-trump-trade-tariffs-pause-trade-war-eu-import-levies-reciprocal-tariffs/
Deseret,Business,-0.5994,"How naïve you are.If you ban all trade from China, big box retail outlets like Walmart would get too expensive for you.If you ban all trade from China, there wouldn't be enough rare earths to manufacture hi-tech products.Donald Trump sounds good to low information ideologues.",https://www.deseret.com/business/2025/04/09/china-donald-trump-trade-tariffs-pause-trade-war-eu-import-levies-reciprocal-tariffs/
Deseret,Business,-0.6124,"Check out Trump's mistaken call to Mcmaster. He needs to golf every day to minimize frequent large and small mistakes",https://www.deseret.com/business/2025/04/09/china-donald-trump-trade-tariffs-pause-trade-war-eu-import-levies-reciprocal-tariffs/
